TransactionType,CostCategory,EmployeeID,BranchID,Amount,TransactionDate,Description
SalesRevenue,Operation,1,6108,4409,12/8/2022,
SalesCost,Operation,1,6108,1426,12/16/2022,
SalesRevenue,Operation,1,1002,4503,12/12/2022,
SalesCost,Operation,1,1002,1516,12/25/2022,
SalesRevenue,Operation,1,1003,4034,11/15/2022,
SalesCost,Operation,1,1003,1920,11/22/2022,
SalesRevenue,Operation,1,1004,5586,12/4/2022,
SalesCost,Operation,1,1004,1041,11/30/2022,
SalesRevenue,Operation,1,1006,5674,12/14/2022,
SalesCost,Operation,1,1006,1566,12/16/2022,
SalesRevenue,Operation,1,1105,5589,12/6/2022,
SalesCost,Operation,1,1105,1457,11/2/2022,
CounterCommission,Operation,1,1105,1307,11/17/2022,
Postage,Postage,1,1105,9,12/25/2022,
SalesRevenue,Operation,1,6101,4476,11/5/2022,
SalesCost,Operation,1,6101,1805,11/13/2022,
CounterCommission,Operation,1,6101,1109,11/4/2022,
Postage,Postage,1,6101,8,12/25/2022,
SalesRevenue,Operation,1,6103,5439,12/31/2022,
SalesCost,Operation,1,6103,1350,11/11/2022,
CounterCommission,Operation,1,6103,1733,11/10/2022,
Postage,Postage,1,6103,15,12/22/2022,
SalesRevenue,Operation,1,6105,4483,11/5/2022,
SalesCost,Operation,1,6105,1802,11/8/2022,
CounterCommission,Operation,1,6105,1796,12/4/2022,
Postage,Postage,1,6105,9,11/24/2022,
SalesRevenue,Operation,1,6303,4138,11/22/2022,
SalesCost,Operation,1,6303,1132,12/29/2022,
CounterCommission,Operation,1,6303,1899,11/11/2022,
Postage,Postage,1,6303,20,11/3/2022,
SalesRevenue,Operation,1,6501,4865,12/6/2022,
SalesCost,Operation,1,6501,1865,11/8/2022,
CounterCommission,Operation,1,6501,1634,11/16/2022,
Postage,Postage,2,6501,11,11/24/2022,
SalesRevenue,Operation,2,6502,4087,11/19/2022,
SalesCost,Operation,2,6502,1980,12/4/2022,
CounterCommission,Operation,2,6502,1692,12/5/2022,
SalesRevenue,Operation,2,6602,4424,12/21/2022,
SalesCost,Operation,2,6602,1670,11/24/2022,
CounterCommission,Operation,2,6602,1211,11/18/2022,
Postage,Postage,2,6602,6,11/6/2022,
SalesRevenue,Operation,2,6801,4782,11/8/2022,
SalesCost,Operation,2,6801,1935,11/11/2022,
CounterCommission,Operation,2,6801,1130,12/6/2022,
Postage,Postage,2,6801,5,12/20/2022,
SalesRevenue,Operation,2,6802,4041,11/3/2022,
SalesCost,Operation,2,6802,1016,12/7/2022,
CounterCommission,Operation,2,6802,1049,12/27/2022,
SalesRevenue,Operation,2,6803,4478,11/7/2022,
SalesCost,Operation,2,6803,1506,11/23/2022,
CounterCommission,Operation,2,6803,1275,11/11/2022,
Postage,Postage,3,6803,9,12/31/2022,
SalesRevenue,Operation,3,7101,4960,12/25/2022,
SalesCost,Operation,3,7101,1426,12/9/2022,TC Best Restaurant
CounterCommission,Operation,4,7101,1292,12/3/2022,Cleanser
Postage,Postage,4,7101,18,12/28/2022,401
SalesRevenue,Operation,4,9502,5462,12/17/2022,401
SalesCost,Operation,4,9502,1125,12/4/2022,Business Port
